x-axis,F1
Hertz,dBV
+39.200E+03,-72.75137E+00
+39.300E+03,-77.05346E+00
+39.400E+03,-73.11662E+00
+39.500E+03,-72.99954E+00
+39.600E+03,-73.28993E+00
+39.700E+03,-78.26352E+00
+39.800E+03,-71.42537E+00
+39.900E+03,-77.43402E+00
+40.000E+03,-80.14929E+00
+40.100E+03,-74.25930E+00
+40.200E+03,-72.48316E+00
+40.300E+03,-76.30767E+00
+40.400E+03,-74.16619E+00
+40.500E+03,-70.41400E+00
+40.600E+03,-70.91082E+00
+40.700E+03,-70.36895E+00
+40.800E+03,-67.05266E+00
+40.900E+03,-72.96661E+00
+41.000E+03,-65.72403E+00
+41.100E+03,-81.70709E+00
+41.200E+03,-68.37272E+00
+41.300E+03,-70.30501E+00
+41.400E+03,-67.96049E+00
+41.500E+03,-65.97400E+00
+41.600E+03,-68.53218E+00
+41.700E+03,-78.62171E+00
+41.800E+03,-66.72989E+00
+41.900E+03,-84.93722E+00
+42.000E+03,-78.67487E+00
+42.100E+03,-65.75421E+00
+42.200E+03,-71.16010E+00
+42.300E+03,-71.48121E+00
+42.400E+03,-72.02958E+00
+42.500E+03,-69.75591E+00
+42.600E+03,-68.92412E+00
+42.700E+03,-77.76463E+00
+42.800E+03,-77.39017E+00
+42.900E+03,-73.04178E+00
+43.000E+03,-73.66254E+00
+43.100E+03,-67.88987E+00
+43.200E+03,-76.46066E+00
+43.300E+03,-76.95385E+00
+43.400E+03,-72.89990E+00
+43.500E+03,-71.33066E+00
+43.600E+03,-76.57697E+00
+43.700E+03,-69.68787E+00
+43.800E+03,-75.04139E+00
+43.900E+03,-71.78300E+00
+44.000E+03,-79.52674E+00
+44.100E+03,-75.72701E+00
+44.200E+03,-71.20287E+00
+44.300E+03,-74.94572E+00
+44.400E+03,-66.78183E+00
+44.500E+03,-85.97715E+00
+44.600E+03,-72.66459E+00
+44.700E+03,-68.21564E+00
+44.800E+03,-74.87865E+00
+44.900E+03,-85.28271E+00
+45.000E+03,-75.65608E+00
+45.100E+03,-80.60049E+00
+45.200E+03,-78.13927E+00
+45.300E+03,-76.98848E+00
+45.400E+03,-67.57853E+00
+45.500E+03,-66.42550E+00
+45.600E+03,-74.17886E+00
+45.700E+03,-76.22455E+00
+45.800E+03,-77.33935E+00
+45.900E+03,-74.26214E+00
+46.000E+03,-68.56210E+00
+46.100E+03,-72.47924E+00
+46.200E+03,-73.54608E+00
+46.300E+03,-69.74109E+00
+46.400E+03,-74.10172E+00
+46.500E+03,-78.14421E+00
+46.600E+03,-85.78804E+00
+46.700E+03,-70.67045E+00
+46.800E+03,-68.55836E+00
+46.900E+03,-70.12731E+00
+47.000E+03,-71.67840E+00
+47.100E+03,-70.91594E+00
+47.200E+03,-80.31539E+00
+47.300E+03,-72.36379E+00
+47.400E+03,-77.47614E+00
+47.500E+03,-68.39231E+00
+47.600E+03,-72.78792E+00
+47.700E+03,-74.93104E+00
+47.800E+03,-79.81132E+00
+47.900E+03,-75.94863E+00
+48.000E+03,-75.29910E+00
+48.100E+03,-73.21852E+00
+48.200E+03,-71.51945E+00
+48.300E+03,-70.83049E+00
+48.400E+03,-73.52623E+00
+48.500E+03,-73.37439E+00
+48.600E+03,-79.82974E+00
+48.700E+03,-75.51690E+00
+48.800E+03,-66.23171E+00
+48.900E+03,-67.80963E+00
+49.000E+03,-78.86496E+00
+49.100E+03,-74.49054E+00
+49.200E+03,-87.95255E+00
+49.300E+03,-70.24659E+00
+49.400E+03,-77.02150E+00
+49.500E+03,-66.72840E+00
+49.600E+03,-70.37421E+00
+49.700E+03,-72.05767E+00
+49.800E+03,-77.56524E+00
+49.900E+03,-81.54500E+00
+50.000E+03,-54.80825E+00
+50.100E+03,-68.73433E+00
+50.200E+03,-69.51146E+00
+50.300E+03,-69.96102E+00
+50.400E+03,-72.70797E+00
+50.500E+03,-68.35004E+00
+50.600E+03,-74.04701E+00
+50.700E+03,-71.98231E+00
+50.800E+03,-67.48851E+00
+50.900E+03,-76.58028E+00
+51.000E+03,-69.07120E+00
+51.100E+03,-71.76451E+00
+51.200E+03,-67.43552E+00
+51.300E+03,-87.58778E+00
+51.400E+03,-73.89382E+00
+51.500E+03,-71.76604E+00
+51.600E+03,-73.53821E+00
+51.700E+03,-68.24223E+00
+51.800E+03,-74.24205E+00
+51.900E+03,-66.98071E+00
+52.000E+03,-71.34233E+00
+52.100E+03,-79.94052E+00
+52.200E+03,-67.19652E+00
+52.300E+03,-68.38700E+00
+52.400E+03,-77.68851E+00
+52.500E+03,-65.26606E+00
+52.600E+03,-71.93307E+00
+52.700E+03,-76.46633E+00
+52.800E+03,-79.08644E+00
+52.900E+03,-77.33785E+00
+53.000E+03,-75.30738E+00
+53.100E+03,-65.14695E+00
+53.200E+03,-82.87478E+00
+53.300E+03,-76.32873E+00
+53.400E+03,-72.19263E+00
+53.500E+03,-69.82888E+00
+53.600E+03,-78.58627E+00
+53.700E+03,-81.78196E+00
+53.800E+03,-69.62820E+00
+53.900E+03,-71.88761E+00
+54.000E+03,-85.64689E+00
+54.100E+03,-71.56228E+00
+54.200E+03,-80.67029E+00
+54.300E+03,-68.04560E+00
+54.400E+03,-68.23136E+00
+54.500E+03,-71.44947E+00
+54.600E+03,-72.84837E+00
+54.700E+03,-71.16416E+00
+54.800E+03,-74.54094E+00
+54.900E+03,-79.98391E+00
+55.000E+03,-73.92778E+00
+55.100E+03,-69.35712E+00
+55.200E+03,-69.64354E+00
+55.300E+03,-71.61297E+00
+55.400E+03,-72.72232E+00
+55.500E+03,-72.26453E+00
+55.600E+03,-77.57942E+00
+55.700E+03,-77.86024E+00
+55.800E+03,-66.58194E+00
+55.900E+03,-80.17033E+00
+56.000E+03,-81.50336E+00
+56.100E+03,-65.96478E+00
+56.200E+03,-74.20187E+00
+56.300E+03,-68.49986E+00
+56.400E+03,-76.21822E+00
+56.500E+03,-67.36311E+00
+56.600E+03,-73.80421E+00
+56.700E+03,-70.78298E+00
+56.800E+03,-67.91460E+00
+56.900E+03,-69.30004E+00
+57.000E+03,-74.97242E+00
+57.100E+03,-68.91186E+00
+57.200E+03,-75.90990E+00
+57.300E+03,-71.50529E+00
+57.400E+03,-74.42157E+00
+57.500E+03,-70.21491E+00
+57.600E+03,-74.04201E+00
+57.700E+03,-70.47489E+00
+57.800E+03,-70.00147E+00
+57.900E+03,-63.87431E+00
+58.000E+03,-81.80594E+00
+58.100E+03,-72.64464E+00
+58.200E+03,-72.42176E+00
+58.300E+03,-65.77756E+00
+58.400E+03,-69.35895E+00
+58.500E+03,-77.06952E+00
+58.600E+03,-73.95772E+00
+58.700E+03,-72.76371E+00
+58.800E+03,-70.43393E+00
+58.900E+03,-77.66989E+00
+59.000E+03,-73.29640E+00
+59.100E+03,-76.19597E+00
+59.200E+03,-71.69986E+00
+59.300E+03,-82.47089E+00
+59.400E+03,-73.71950E+00
+59.500E+03,-82.09890E+00
+59.600E+03,-68.70980E+00
+59.700E+03,-74.41856E+00
+59.800E+03,-82.99618E+00
+59.900E+03,-68.93784E+00
