Freq.	V(n003)/V(n001)
5.88843655355586e+001	(1.34419497872782e+001dB,1.79982061710905e+002°)
6.02559586074355e+001	(1.34419497803511e+001dB,1.79981643874471e+002°)
6.16595001861479e+001	(1.34419497730974e+001dB,1.79981216305376e+002°)
6.30957344480190e+001	(1.34419497655019e+001dB,1.79980778776917e+002°)
6.45654229034652e+001	(1.34419497575484e+001dB,1.79980331057111e+002°)
6.60693448007593e+001	(1.34419497492201e+001dB,1.79979872908570e+002°)
6.76082975391978e+001	(1.34419497404993e+001dB,1.79979404088378e+002°)
6.91830970918933e+001	(1.34419497313675e+001dB,1.79978924347961e+002°)
7.07945784384134e+001	(1.34419497218053e+001dB,1.79978433432954e+002°)
7.24435960074986e+001	(1.34419497117925e+001dB,1.79977931083066e+002°)
7.41310241300914e+001	(1.34419497013078e+001dB,1.79977417031946e+002°)
7.58577575029180e+001	(1.34419496903289e+001dB,1.79976891007037e+002°)
7.76247116628688e+001	(1.34419496788327e+001dB,1.79976352729433e+002°)
7.94328234724277e+001	(1.34419496667946e+001dB,1.79975801913732e+002°)
8.12830516164095e+001	(1.34419496541892e+001dB,1.79975238267884e+002°)
8.31763771102667e+001	(1.34419496409897e+001dB,1.79974661493038e+002°)
8.51138038202372e+001	(1.34419496271682e+001dB,1.79974071283378e+002°)
8.70963589956076e+001	(1.34419496126952e+001dB,1.79973467325969e+002°)
8.91250938133741e+001	(1.34419495975402e+001dB,1.79972849300583e+002°)
9.12010839355905e+001	(1.34419495816709e+001dB,1.79972216879536e+002°)
9.33254300796986e+001	(1.34419495650538e+001dB,1.79971569727509e+002°)
9.54992586021431e+001	(1.34419495476534e+001dB,1.79970907501374e+002°)
9.77237220955805e+001	(1.34419495294331e+001dB,1.79970229850009e+002°)
9.99999999999995e+001	(1.34419495103540e+001dB,1.79969536414115e+002°)
1.02329299228075e+002	(1.34419494903758e+001dB,1.79968826826022e+002°)
1.04712854805089e+002	(1.34419494694560e+001dB,1.79968100709498e+002°)
1.07151930523760e+002	(1.34419494475504e+001dB,1.79967357679546e+002°)
1.09647819614318e+002	(1.34419494246123e+001dB,1.79966597342201e+002°)
1.12201845430196e+002	(1.34419494005932e+001dB,1.79965819294322e+002°)
1.14815362149688e+002	(1.34419493754421e+001dB,1.79965023123378e+002°)
1.17489755493952e+002	(1.34419493491057e+001dB,1.79964208407228e+002°)
1.20226443461741e+002	(1.34419493215280e+001dB,1.79963374713898e+002°)
1.23026877081237e+002	(1.34419492926507e+001dB,1.79962521601354e+002°)
1.25892541179416e+002	(1.34419492624124e+001dB,1.79961648617264e+002°)
1.28824955169313e+002	(1.34419492307491e+001dB,1.79960755298758e+002°)
1.31825673855640e+002	(1.34419491975935e+001dB,1.79959841172189e+002°)
1.34896288259165e+002	(1.34419491628753e+001dB,1.79958905752873e+002°)
1.38038426460288e+002	(1.34419491265209e+001dB,1.79957948544839e+002°)
1.41253754462275e+002	(1.34419490884532e+001dB,1.79956969040561e+002°)
1.44543977074592e+002	(1.34419490485913e+001dB,1.79955966720694e+002°)
1.47910838816820e+002	(1.34419490068509e+001dB,1.79954941053794e+002°)
1.51356124843620e+002	(1.34419489631433e+001dB,1.79953891496037e+002°)
1.54881661891247e+002	(1.34419489173758e+001dB,1.79952817490935e+002°)
1.58489319246110e+002	(1.34419488694514e+001dB,1.79951718469035e+002°)
1.62181009735892e+002	(1.34419488192683e+001dB,1.79950593847621e+002°)
